course_code,venue,confirmed_total,cancelled_total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,strong_months,weak_months
ASKCTH,HOTEL,2,3,,1/1,,,0/1,,,1/0,,,0/1,,,
ASKIST,HOTEL,2,3,,0/2,,,,0/1,,,1/0,,,1/0,,Feb
ASKWMW,HOTEL,2,2,,1/0,0/1,,,,,1/0,,,,0/1,,
ASKGV7,JTC,2,5,,0/1,,0/1,1/0,0/1,,1/0,,0/1,,0/1,,
ASKFF8,JTC,2,6,,0/1,0/1,0/1,0/1,0/1,,0/1,,1/0,,1/0,,
ASKEWS,INHOUSE,2,1,,,1/0,,,,1/0,,,,0/1,,,
ASKPTA,HOTEL,2,2,,,0/2,,,,,1/0,,,,1/0,,Mar
ASKCWF,HOTEL,2,3,,,0/2,,,,0/1,,1/0,,,1/0,,Mar
ASK5BC,HOTEL,2,2,,,0/2,,,,,1/0,,,,1/0,,Mar
DIIO-IIO,JTC,2,2,,,1/0,,,,,0/1,,1/0,,0/1,,
SCTP-DIIO,JTC,2,2,,,1/0,,,,,0/1,,1/0,,0/1,,
DIIO-EAD,JTC,2,2,,,,1/0,,,,,0/1,1/0,,0/1,,
DIIO-IPO,JTC,2,2,,,,1/0,,,,,0/1,,1/0,0/1,,
ASKINH-1/2DAY,HBL,2,0,,,,1/0,1/0,,,,,,,,,
DIIO-DRB,JTC,2,3,0/2,,,1/0,,,,,,0/1,1/0,,,Jan
DIIO-ISC,JTC,2,3,0/2,,,,1/0,,,,,,0/1,1/0,,Jan
ASQMEM,JTC,2,5,,1/0,0/1,0/1,0/1,0/1,,,0/1,,,1/0,,
ASQMEM,IP,2,5,,0/1,0/1,1/0,0/2,,0/1,,,1/0,,,,May
ASKINH-1DAY,INHOUSE,2,0,,,,,,,2/0,,,,,,Jul,
ASKCDM,OTHER,2,0,,,,,,,2/0,,,,,,Jul,
ASKMWB,OTHER,2,0,,1/0,,,,,,1/0,,,,,,
ASKMWA,OTHER,2,0,,1/0,,,,,,1/0,,,,,,
ASKPSM,HOTEL,2,0,,,,,1/0,,,,1/0,,,,,
ASKAKG,JTC,2,1,,0/1,,,,,,,,1/0,,1/0,,
ASKLRE,HOTEL,2,2,,1/0,,0/1,,,,,,0/1,,1/0,,
ASKROOM,IP,2,0,,,,,1/0,,,,,,1/0,,,
ASKCSP,IP,2,0,2/0,,,,,,,,,,,,Jan,
ASKEP8,IP,2,0,,1/0,,1/0,,,,,,,,,,
ASKTH8,OTHER,2,0,,2/0,,,,,,,,,,,Feb,
ASKMPA,IP,2,0,,,1/0,,1/0,,,,,,,,,
ASNMEA,IP,2,2,,,,,2/2,,,,,,,,,
